car_ID,symboling,CarName,fueltype,carbody,wheelbase,carlength,carwidth,carheight,cylindernumber,enginesize,horsepower,citympg,highwaympg,price
1,3,alfa-romero giulia,gas,convertible,88.6,168.8,64.1,48.8,four,130,111,21,27,13495
2,3,alfa-romero stelvio,gas,convertible,88.6,168.8,64.1,48.8,four,130,111,21,27,16500
3,1,alfa-romero Quadrifoglio,gas,hatchback,94.5,171.2,65.5,52.4,six,152,154,19,26,16500
4,2,audi 100 ls,gas,sedan,99.8,176.6,66.2,54.3,four,109,102,24,30,13950
5,2,audi 100ls,gas,sedan,99.4,176.6,66.4,54.3,five,136,115,18,22,17450
6,2,audi fox,gas,sedan,99.8,177.3,66.3,53.1,five,136,110,19,25,15250
7,1,audi 100ls,gas,sedan,105.8,192.7,71.4,55.7,five,136,110,19,25,17710
8,1,audi 5000,gas,wagon,105.8,192.7,71.4,55.7,five,136,110,19,25,18920
9,1,audi 4000,gas,sedan,105.8,192.7,71.4,55.9,five,131,140,17,20,23875
10,0,audi 5000s (diesel),gas,hatchback,99.5,178.2,67.9,52,five,131,160,16,22,17859.167
11,2,bmw 320i,gas,sedan,101.2,176.8,64.8,54.3,four,108,101,23,29,16430
12,0,bmw 320i,gas,sedan,101.2,176.8,64.8,54.3,four,108,101,23,29,16925
13,0,bmw x1,gas,sedan,101.2,176.8,64.8,54.3,six,164,121,21,28,20970
14,0,bmw x3,gas,sedan,101.2,176.8,64.8,54.3,six,164,121,21,28,21105
15,1,bmw z4,gas,sedan,103.5,189,66.9,55.7,six,164,121,20,25,24565
16,0,bmw x4,gas,sedan,103.5,189,66.9,55.7,six,209,182,16,22,30760
17,0,bmw x5,gas,sedan,103.5,193.8,67.9,53.7,six,209,182,16,22,41315
18,0,bmw x3,gas,sedan,110,197,70.9,56.3,six,209,182,15,20,36880
19,2,chevrolet impala,gas,hatchback,88.4,141.1,60.3,53.2,three,61,48,47,53,5151
20,1,chevrolet monte carlo,gas,hatchback,94.5,155.9,63.6,52,four,90,70,38,43,6295
21,0,chevrolet vega 2300,gas,sedan,94.5,158.8,63.6,52,four,90,70,38,43,6575
22,1,dodge rampage,gas,hatchback,93.7,157.3,63.8,50.8,four,90,68,37,41,5572
23,1,dodge challenger se,gas,hatchback,93.7,157.3,63.8,50.8,four,90,68,31,38,6377
24,1,dodge d200,gas,hatchback,93.7,157.3,63.8,50.8,four,98,102,24,30,7957
25,1,dodge monaco (sw),gas,hatchback,93.7,157.3,63.8,50.6,four,90,68,31,38,6229
26,1,dodge colt hardtop,gas,sedan,93.7,157.3,63.8,50.6,four,90,68,31,38,6692
27,1,dodge colt (sw),gas,sedan,93.7,157.3,63.8,50.6,four,90,68,31,38,7609
28,1,dodge coronet custom,gas,sedan,93.7,157.3,63.8,50.6,four,98,102,24,30,8558
29,-1,dodge dart custom,gas,wagon,103.3,174.6,64.6,59.8,four,122,88,24,30,8921
30,3,dodge coronet custom (sw),gas,hatchback,95.9,173.2,66.3,50.2,four,156,145,19,24,12964
31,2,honda civic,gas,hatchback,86.6,144.6,63.9,50.8,four,92,58,49,54,6479
32,2,honda civic cvcc,gas,hatchback,86.6,144.6,63.9,50.8,four,92,76,31,38,6855
33,1,honda civic,gas,hatchback,93.7,150,64,52.6,four,79,60,38,42,5399
34,1,honda accord cvcc,gas,hatchback,93.7,150,64,52.6,four,92,76,30,34,6529
35,1,honda civic cvcc,gas,hatchback,93.7,150,64,52.6,four,92,76,30,34,7129
36,0,honda accord lx,gas,sedan,96.5,163.4,64,54.5,four,92,76,30,34,7295
37,0,honda civic 1500 gl,gas,wagon,96.5,157.1,63.9,58.3,four,92,76,30,34,7295
38,0,honda accord,gas,hatchback,96.5,167.5,65.2,53.3,four,110,86,27,33,7895
39,0,honda civic 1300,gas,hatchback,96.5,167.5,65.2,53.3,four,110,86,27,33,9095
40,0,honda prelude,gas,sedan,96.5,175.4,65.2,54.1,four,110,86,27,33,8845
41,0,honda accord,gas,sedan,96.5,175.4,62.5,54.1,four,110,86,27,33,10295
42,0,honda civic,gas,sedan,96.5,175.4,65.2,54.1,four,110,101,24,28,12945
43,1,honda civic (auto),gas,sedan,96.5,169.1,66,51,four,110,100,25,31,10345
44,0,isuzu MU-X,gas,sedan,94.3,170.7,61.8,53.5,four,111,78,24,29,6785
45,1,isuzu D-Max ,gas,sedan,94.5,155.9,63.6,52,four,90,70,38,43,8916.5
46,0,isuzu D-Max V-Cross,gas,sedan,94.5,155.9,63.6,52,four,90,70,38,43,8916.5
47,2,isuzu D-Max ,gas,hatchback,96,172.6,65.2,51.4,four,119,90,24,29,11048
48,0,jaguar xj,gas,sedan,113,199.6,69.6,52.8,six,258,176,15,19,32250
49,0,jaguar xf,gas,sedan,113,199.6,69.6,52.8,six,258,176,15,19,35550
50,0,jaguar xk,gas,sedan,102,191.7,70.6,47.8,twelve,326,262,13,17,36000
51,1,maxda rx3,gas,hatchback,93.1,159.1,64.2,54.1,four,91,68,30,31,5195
52,1,maxda glc deluxe,gas,hatchback,93.1,159.1,64.2,54.1,four,91,68,31,38,6095
53,1,mazda rx2 coupe,gas,hatchback,93.1,159.1,64.2,54.1,four,91,68,31,38,6795
54,1,mazda rx-4,gas,sedan,93.1,166.8,64.2,54.1,four,91,68,31,38,6695
55,1,mazda glc deluxe,gas,sedan,93.1,166.8,64.2,54.1,four,91,68,31,38,7395
56,3,mazda 626,gas,hatchback,95.3,169,65.7,49.6,two,70,101,17,23,10945
57,3,mazda glc,gas,hatchback,95.3,169,65.7,49.6,two,70,101,17,23,11845
58,3,mazda rx-7 gs,gas,hatchback,95.3,169,65.7,49.6,two,70,101,17,23,13645
59,3,mazda glc 4,gas,hatchback,95.3,169,65.7,49.6,two,80,135,16,23,15645
60,1,mazda 626,gas,hatchback,98.8,177.8,66.5,53.7,four,122,84,26,32,8845
61,0,mazda glc custom l,gas,sedan,98.8,177.8,66.5,55.5,four,122,84,26,32,8495
